,50::Employed,51::Employed,52::Employed,53::Employed,54::Employed,55::Employed,56::Employed,57::Employed,58::Employed,59::Employed,60::Employed,61::Employed,62::Employed,63::Employed,64::Employed,65::Employed,66::Employed,67::Employed,68::Employed,69::Employed,70::Employed,71::Employed,72::Employed,73::Employed,74::Employed,75::Employed,76::Employed,77::Employed,78::Employed,79::Employed,80::Employed,81::Employed,82::Employed,83::Employed,84::Employed,85::Employed,86::Employed,87::Employed,88::Employed,89::Employed,90::Employed,91::Employed,92::Employed,93::Employed,94::Employed,95::Employed,96::Employed,97::Employed,98::Employed,99::Employed,50::Inactive,51::Inactive,52::Inactive,53::Inactive,54::Inactive,55::Inactive,56::Inactive,57::Inactive,58::Inactive,59::Inactive,60::Inactive,61::Inactive,62::Inactive,63::Inactive,64::Inactive,65::Inactive,66::Inactive,67::Inactive,68::Inactive,69::Inactive,70::Inactive,71::Inactive,72::Inactive,73::Inactive,74::Inactive,75::Inactive,76::Inactive,77::Inactive,78::Inactive,79::Inactive,80::Inactive,81::Inactive,82::Inactive,83::Inactive,84::Inactive,85::Inactive,86::Inactive,87::Inactive,88::Inactive,89::Inactive,90::Inactive,91::Inactive,92::Inactive,93::Inactive,94::Inactive,95::Inactive,96::Inactive,97::Inactive,98::Inactive,99::Inactive,50::Retired,51::Retired,52::Retired,53::Retired,54::Retired,55::Retired,56::Retired,57::Retired,58::Retired,59::Retired,60::Retired,61::Retired,62::Retired,63::Retired,64::Retired,65::Retired,66::Retired,67::Retired,68::Retired,69::Retired,70::Retired,71::Retired,72::Retired,73::Retired,74::Retired,75::Retired,76::Retired,77::Retired,78::Retired,79::Retired,80::Retired,81::Retired,82::Retired,83::Retired,84::Retired,85::Retired,86::Retired,87::Retired,88::Retired,89::Retired,90::Retired,91::Retired,92::Retired,93::Retired,94::Retired,95::Retired,96::Retired,97::Retired,98::Retired,99::Retired,Dead
60::Employed,0,0,0,0,0,0,0,0,0,0.897235102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082319841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058794772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61::Employed,0,0,0,0,0,0,0,0,0,0,0.894917784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082933325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052107155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62::Employed,0,0,0,0,0,0,0,0,0,0,0,0.839395854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056234807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028404464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0.837633328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058288539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02524513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836383372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061236669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022485357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809309881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05671793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016294954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810881735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060209611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015631384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880980766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114685861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026106515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844248311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076162976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019070873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69::Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842375351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084167157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016862497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
